Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-06
Horizontal Delay,0
Sample Interval,2e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-5
,
,
,
Label,
TIME,CH1
-8.5340e-06,0.37
-8.5320e-06,0.37
-8.5300e-06,0.37
-8.5280e-06,0.37
-8.5260e-06,0.37
-8.5240e-06,0.368
-8.5220e-06,0.37
-8.5200e-06,0.368
-8.5180e-06,0.368
-8.5160e-06,0.368
-8.5140e-06,0.368
-8.5120e-06,0.364
-8.5100e-06,0.364
-8.5080e-06,0.364
-8.5060e-06,0.362
-8.5040e-06,0.362
-8.5020e-06,0.362
-8.5000e-06,0.36
-8.4980e-06,0.358
-8.4960e-06,0.358
-8.4940e-06,0.358
-8.4920e-06,0.356
-8.4900e-06,0.356
-8.4880e-06,0.354
-8.4860e-06,0.352
-8.4840e-06,0.352
-8.4820e-06,0.35
-8.4800e-06,0.346
-8.4780e-06,0.348
-8.4760e-06,0.348
-8.4740e-06,0.346
-8.4720e-06,0.344
-8.4700e-06,0.342
-8.4680e-06,0.342
-8.4660e-06,0.342
-8.4640e-06,0.34
-8.4620e-06,0.338
-8.4600e-06,0.338
-8.4580e-06,0.336
-8.4560e-06,0.336
-8.4540e-06,0.334
-8.4520e-06,0.332
-8.4500e-06,0.332
-8.4480e-06,0.332
-8.4460e-06,0.33
-8.4440e-06,0.328
-8.4420e-06,0.328
-8.4400e-06,0.326
-8.4380e-06,0.324
-8.4360e-06,0.324
-8.4340e-06,0.322
-8.4320e-06,0.32
-8.4300e-06,0.318
-8.4280e-06,0.318
-8.4260e-06,0.316
-8.4240e-06,0.316
-8.4220e-06,0.314
-8.4200e-06,0.316
-8.4180e-06,0.312
-8.4160e-06,0.31
-8.4140e-06,0.31
-8.4120e-06,0.308
-8.4100e-06,0.308
-8.4080e-06,0.306
-8.4060e-06,0.304
-8.4040e-06,0.304
-8.4020e-06,0.302
-8.4000e-06,0.3
-8.3980e-06,0.3
-8.3960e-06,0.298
-8.3940e-06,0.296
-8.3920e-06,0.294
-8.3900e-06,0.294
-8.3880e-06,0.294
-8.3860e-06,0.292
-8.3840e-06,0.29
-8.3820e-06,0.29
-8.3800e-06,0.288
-8.3780e-06,0.288
-8.3760e-06,0.288
-8.3740e-06,0.284
-8.3720e-06,0.284
-8.3700e-06,0.282
-8.3680e-06,0.284
-8.3660e-06,0.28
-8.3640e-06,0.28
-8.3620e-06,0.278
-8.3600e-06,0.278
-8.3580e-06,0.278
-8.3560e-06,0.278
-8.3540e-06,0.276
-8.3520e-06,0.274
-8.3500e-06,0.276
-8.3480e-06,0.272
-8.3460e-06,0.272
-8.3440e-06,0.272
-8.3420e-06,0.272
-8.3400e-06,0.27
-8.3380e-06,0.272
-8.3360e-06,0.272
-8.3340e-06,0.27
-8.3320e-06,0.268
-8.3300e-06,0.268
-8.3280e-06,0.268
-8.3260e-06,0.27
-8.3240e-06,0.268
-8.3220e-06,0.268
-8.3200e-06,0.27
-8.3180e-06,0.268
-8.3160e-06,0.266
-8.3140e-06,0.268
-8.3120e-06,0.27
-8.3100e-06,0.27
-8.3080e-06,0.27
-8.3060e-06,0.27
-8.3040e-06,0.27
-8.3020e-06,0.27
-8.3000e-06,0.27
-8.2980e-06,0.27
-8.2960e-06,0.27
-8.2940e-06,0.272
-8.2920e-06,0.272
-8.2900e-06,0.27
-8.2880e-06,0.272
-8.2860e-06,0.272
-8.2840e-06,0.272
-8.2820e-06,0.272
-8.2800e-06,0.272
-8.2780e-06,0.272
-8.2760e-06,0.272
-8.2740e-06,0.272
-8.2720e-06,0.272
-8.2700e-06,0.272
-8.2680e-06,0.272
-8.2660e-06,0.272
-8.2640e-06,0.27
-8.2620e-06,0.27
-8.2600e-06,0.272
-8.2580e-06,0.272
-8.2560e-06,0.274
-8.2540e-06,0.27
-8.2520e-06,0.274
-8.2500e-06,0.272
-8.2480e-06,0.274
-8.2460e-06,0.274
-8.2440e-06,0.272
-8.2420e-06,0.274
-8.2400e-06,0.274
-8.2380e-06,0.274
-8.2360e-06,0.276
-8.2340e-06,0.276
-8.2320e-06,0.278
-8.2300e-06,0.278
-8.2280e-06,0.276
-8.2260e-06,0.278
-8.2240e-06,0.28
-8.2220e-06,0.278
-8.2200e-06,0.28
-8.2180e-06,0.282
-8.2160e-06,0.282
-8.2140e-06,0.286
-8.2120e-06,0.286
-8.2100e-06,0.286
-8.2080e-06,0.286
-8.2060e-06,0.29
-8.2040e-06,0.29
-8.2020e-06,0.292
-8.2000e-06,0.29
-8.1980e-06,0.294
-8.1960e-06,0.296
-8.1940e-06,0.296
-8.1920e-06,0.296
-8.1900e-06,0.298
-8.1880e-06,0.3
-8.1860e-06,0.302
-8.1840e-06,0.302
